926240,8951708,2178620,925983,1124133,1978671,9590597,8165791
217429,9543845,2044209,4864303,5656642,472121,7573402,6062473
992287,10464947,9413289,7298898,4667696,729891,7902880,7310995
9609640,9674918,10530229,4736570,5326137,10774875,8362661,7705501
7835284,7966355,10399156,7035724,5259829,6769220,6851989,7310743
7968153,9084581,11713987,4799278,13931142,9020591,7771294,6259082
6916755,8493475,10071478,6311488,6309433,9152177,7838115,6324618
9216422,9215910,10597563,4405035,15375504,8822442,7772321,7507609
9610154,11321286,10795201,469803,14309179,9547193,9745085,8229790
15785179,15785692,15587800,10584177,16749948,16180191,16179937,16114144
16047320,16245982,16113113,8013622,10501932,16442848,16574947,16705505
15522522,16114398,16245469,4401951,16414038,16443361,16509154,16639712
14601420,13945808,15654106,8936527,16288628,15719386,16245730,15850972
11188160,11516355,11844807,13929348,13132623,12566471,12763591,12171453
9217715,9874617,10860485,13405576,14698796,11123144,12435403,12237759
9678781,10992071,11189707,14655132,11648970,12437457,12503250,11451332
11057864,12372693,11240064,15514812,11977422,11517132,11648970,11975365
13289683,13226202,13217461,14390414,10269633,11123657,11255243,10596798
16049893,16447474,13869733,13142922,13029594,11912144,11715279,11123142
14079453,16513012,13475746,13802398,16119026,12833760,11912144,11975880
15262949,16447219,13808568,13280684,16379626,15395564,14211296,13290966
14603475,15986411,16381426,15185334,16578805,14474721,14211550,13684693
13353417,14341595,13545137,14852770,15855854,12962775,13685983,13290712
11253183,11976393,14204615,14786977,12305613,12634323,11452107,10399934
10071997,10073026,12568530,15053750,12239826,13160409,11846865,9546165
10598600,10205386,11650001,14861770,12898008,13817310,11911629,8560300
12043217,11058638,11847380,13357533,13422812,13685470,10663880,9744320
12306900,11387087,12044246,13029596,12570074,12504027,10073285,10597570
8956087,9612736,11321294,12307418,12175062,11190224,9482177,10073026
9415868,9284798,10007494,10927306,11978966,10073800,8428973,9152437
