2113611,1263445,4478814,2445662,2444631,1919853,10254434,10250055
1461334,867906,2641238,2835529,2902610,3624031,7165510,8938043
1654342,1588809,3887959,4216417,4021094,8485506,11895658,7363667
2313812,1588809,3035996,2178889,3492954,868961,7229761,9729376
2049100,2114894,1918287,2507854,2702410,7836613,10189427,11696713
2178630,1325378,2244682,2243910,2702402,5862056,6963493,10848107
2834501,2771796,2574417,2245709,1849411,8288904,7883823,9533540
2507844,2244934,1982278,1720648,3359822,9071700,9263410,8742482
1783868,1849152,3560022,1850694,4420515,7298375,11895908,7361347
3031625,3231057,2178628,1257274,3758188,9655339,11571070,8345405
3689806,2573126,2311245,1390401,3819868,6773573,10585456,9327158
1980220,1718075,1519417,2505799,10129838,8669724,10189676,7756354
4084053,1914947,1453624,5001044,9786681,8737862,10451551,9593152
2177341,2834501,2243394,4287136,11759432,8672304,10185790,9920577
2835271,1980219,1191222,6126234,10512715,8938313,9330761,9592893
2308927,3360073,1520446,5994113,9656376,10974295,11104851,10056527
1980219,2570816,3427432,10976122,9589556,9460027,12094328,11767158
2702915,1783359,4676184,10115898,9789251,9986370,10253153,11765612
3820106,1586231,9407121,8474171,12876114,8614758,11241335,11437164
2965575,4409946,7896474,7164238,10317907,7361599,10586998,10713702
2897725,5920079,8144426,8933934,10388589,7688764,11438965,10517863
1979707,9679533,9272437,12286544,10519670,7425071,11110002,9075058
4014402,9341076,8875623,12029560,9598311,9069907,9338999,9335658
6317159,11375243,10380099,11573649,8481372,10708805,11436127,8680040
3368867,8545102,15437634,10391436,9792090,10055246,9927535,8153694
7703734,8868403,10390405,9930367,11566440,11962489,9271923,7824988
9924428,10842962,9601401,11110517,12617312,10648681,8942701,8413783
6117468,9208698,9534066,11110519,12157280,9797492,7892580,9134672
4072734,10323576,9467493,11240814,9269853,7760994,9927276,9856324
5518874,10451559,10387059,10648161,9732726,8878706,9203810,8216413
